username,tweet
 @mayasolovely, Fuck Red Malone man bitch ass niggah could you please use complete sentences?
 @mleew17, Why the eggplant emoji doe?y he say she looked like scream lmao
 @UrKindOfBrand Dawg!!!! R, Hennessey Venom GT &#128584; http
 @C_G_Anderson, Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
 @ShenikaRoberts, #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit
_Madison_x," Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http"
@__BrighterDays, baby monkey bathtime http
@selfiequeenbri, cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
@ARIZZLEINDACUT, I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers. Retweet
@Addicted2Guys, I'm a fucking fag they said
@AdoreBellaaa, Females think dating a pussy is cute now? http
@AdoreZoey, -SimplyAddictedToGuys http
@AllAboutManFeet, Have ya ever asked your bitch for other bitches - kanye voice Yes
@Allyhaaaaa, How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553; I SWEAR!!!!!
@Almightywayne__, http
@Almightywayne__, Lemmie eat a Oreo &amp; do these dishes. One oreo? Lol
@ArizonasFinest6, @JetsAndASwisher @Gook____ bitch fuck u http
@AutoWorId, Fuck Red Malone man bitch ass niggah could you please use complete sentences?
@BOSSBYTCHH, Why the eggplant emoji doe?y he say she looked like scream lmao
@BRO_HEN314, Hennessey Venom GT &#128584; http
@BVSEDCHINK, Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
@BabyAnimalPics, #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit
@BaylaaGottaBody," Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http"
@BeEasyJrizzy, baby monkey bathtime http
@BeenBasedB, &#128514;&#128514;&#128514;&#128514; I ain't shit . Damn Skippy lol
@BeenFLYnSolo, u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b &gt;30%chance
@BestProAdvice, @_KudaBrazyy http
@Bill215_," ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
@BitchJones92, The facts on tattoos...tattoo http
@BlackChiquitita, &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee but niggas act like bitches..
@BlackNerdJade, Get worshiping bitch! http
@Blackman38Tide, Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http
@BrokenPiecesmsc," Ok, sis. She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
@BrosConfessions, @WhaleLookyHere @HowdyDowdy11 queer gaywad
@CASHandBOOBIES, @ItsNotAdam faggot read my tweets after dat k it wasn't even funny lol
@CB_Baby24, This bitch was so ungrateful http
@CCobey, I been kidnapped yo bitch
@CHlLDHOODRUINER, @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
@CaelanG15, @AydanMcCoy happy birthday nigs Thanks yo
@CanIFuckOrNah, when ur teacher tells u that u have homework https
@CarelessOne92, @22EdHam
@CauseWereGuys, What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?
@CauseWereGuys, Leafs better win this damn game so I can go riot and shit #EarlyChristmas you better start looting my nig
@CeleyNichole, Going back to school sucks more dick than the hoes who attend it.
@ChadMFVerbeck, On my way to fuck yo bitch http
@ChandlerParsons, @white_thunduh how come you never bring me food i dont have a car retard
@ClicquotSuave, If Richnow doesn't show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople
@Coley_Cee, How bout them Cowboys!!!! Shutup pussy
@Coley_Cee, LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http
@ComedyPosts, @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvsbitch plz
@ComedyTruth," Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.lmao bitch don't trick me again"
@CoryBandz, Harlem shake is just an excuse to go full retard for 30 seconds.
@Crhedrys, amen miley &#128591; http
@DBAB_Holloway," having one loyal female is wayyyyy better than having hoes , idc &#128175;"
@DGotBricks, Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https
@DaeDaviDavie, Check out our 12th man. #CowboysNation even with all those faggot ny fans in the stands
@DevilGrimz, What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
@DiamondLoudKush, @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056; wow
@Dietrich1892," @VigxRArts you're fucking gay, blacklisted hoe Holding out for #TehGodClan anyway http"
@DionaIrish, The fuck be wrong with these bitches? Nobody knows
@DoYou_Q, Yall shut up
@DomWorldPeace," I hate a I'm pregnant"" type of bitch."""
@Dommoneek, Got bitches in the DM but I don't ever read'em which is y your top 3
@DreadheadAri, Baseball season for the win. #Yankees This is where the love started
@DunderbaIl, Little stupid as bitch I don't fuck with yoooooouuuu..
@EdgarPixar," she really asked me that dead ass serious tho, all i could say was bitch wheet"" LOL"
@El_Grillo1," I'm an early bird and I'm a night owl, so I'm wise and have worms."
@Ferocious_Ghost, Overdosing on heavy drugs doesn't sound bad tonight. I do that pussy shit every day.
@FloKid88, Pit Bulls Photographed As Lovely Fairy Tale Creatures http
@Frosstyy_," @1stName_Bravo Aw. ...fag, don't tweet ""aw"" to me lol"
@FunnyPicsDepot," As long as the Lakers trash from now on, I could careless. And that's real.. CC"
@G27Status, @h0rheyd I didn't say anything tho kiss me then faggot
@GEDMelle," this the I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http"
@GTM_Al, I could go for a fat ass bitch on my lap same
@GagaTom1, 17 missed calls!!!! &#128544;&#128545;Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle
@GirlThatsVonte, Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving lmmfao &#128514;&#128514;&#128514;&#128514;
@GirlThatsVonte, &#8220;@MaleFoot
@GirlThatsVonte, These hoes be thinking Meat won't slap they ass &#128564;&#128075; ainna bruh
