name,tweet
 As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,!!! RT @mayasolovely
 boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,!!!!! RT @mleew17
 You ever fuck a bitch and she start to cry? You be confused as shit,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life
 @viva_based she look like a tranny,!!!!!!!!! RT @C_G_Anderson
 The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,!!!!!!!!!!!!! RT @ShenikaRoberts
" The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""","!!!!!!!!!!!!!!!!!!""@T_Madison_x"
" I can not just sit up and HATE on another bitch .. I got too much shit going on!""","!!!!!!""@__BrighterDays"
 cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,!!!!&#8220;@selfiequeenbri
hobbies include,""" @rhythmixx_ "
//t.co/cOU2WQ5L4q,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http"
//t.co/BMdSVMc3rC,""" most hated but the hoes favorite "" #2MW #SevenOne # http"
//t.co/bzRDl3kF7U,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http"
//t.co/R8jsymiB5b,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http"
" ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",""" you dodge a bullet "" &#128517; &#8220;@DaRealKha"
" Teanna Trump probably cleaner than most of these twitter hoes but.........""","""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_"
" Gay niggas couldn't wait to act like bitches tonight""","""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz"
 And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life,"""&#128514;&#128514;&#128514;@The_Paradox"
" I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet","""@2015seniorprobs"
" I'm a fucking fag they said""","""@A7XDemery"
 Females think dating a pussy is cute now? http,"""@ARIZZLEINDACUT"
 -SimplyAddictedToGuys http,"""@Addicted2Guys"
" Have ya ever asked your bitch for other bitches - kanye voice"" Yes","""@AdoreBellaaa"
" How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!","""@AdoreZoey"
 http,"""@AllAboutManFeet"
" Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol","""@Allyhaaaaa"
 @JetsAndASwisher @Gook____ bitch fuck u http,"""@Almightywayne__"
" Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?","""@Almightywayne__"
" Why the eggplant emoji doe?""y he say she looked like scream lmao","""@ArizonasFinest6"
 Hennessey Venom GT &#128584; http,"""@AutoWorId"
" Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!","""@BOSSBYTCHH"
" #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""","""@BRO_HEN314"
" Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http","""@BVSEDCHINK"
 baby monkey bathtime http,"""@BabyAnimalPics"
" &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol","""@BaylaaGottaBody"
" u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance","""@BeEasyJrizzy"
 @_KudaBrazyy http,"""@BeenBasedB"
" ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""","""@BeenFLYnSolo"
 The facts on tattoos...tattoo http,"""@BestProAdvice"
" &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..","""@Bill215_"
 Get worshiping bitch! http,"""@BitchJones92"
 Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http,"""@BlackChiquitita"
